Date,Quality_grade,AQI,AQI_rank,PM2_5,PM10,SO2,NO2,CO,O3
2019-02-14,良,90,287,54,105,9,27,1.23,33
2019-02-15,良,72,258,35,93,10,31,1.06,30
2019-02-16,优,49,157,21,51,14,38,1.03,29
2019-02-17,优,46,142,25,41,14,32,0.88,43
2019-02-18,轻度污染,124,347,93,108,20,30,1.48,45
2019-02-19,良,89,241,65,83,11,35,1.29,40
2019-02-20,良,68,145,49,70,17,50,1.38,35
2019-02-21,良,93,215,69,89,20,61,1.68,31
2019-02-22,良,71,178,50,68,16,55,1.40,37
2019-02-23,良,70,168,49,76,19,58,1.50,38
2019-02-24,良,81,203,58,88,21,65,1.58,35
2019-02-25,良,60,148,40,63,14,51,1.24,37
2019-02-26,良,88,231,64,67,7,36,1.09,41
2019-02-27,轻度污染,103,273,77,92,9,37,1.19,51
2019-02-28,轻度污染,103,264,76,94,9,44,1.43,27
2019-03-01,轻度污染,110,253,82,109,13,47,1.45,44
2019-03-02,良,81,203,59,85,12,47,1.21,46
2019-03-03,良,52,129,34,53,10,42,1.23,32
2019-03-04,良,64,159,43,71,12,51,1.55,28
2019-03-05,良,56,142,29,61,12,42,1.18,33
2019-03-06,良,53,150,20,55,14,44,0.99,35
2019-03-07,良,70,241,44,81,16,41,1.07,54
2019-03-08,良,82,298,57,98,15,54,1.21,42
2019-03-09,良,76,233,47,90,12,51,1.14,41
2019-03-10,良,95,285,27,137,10,42,0.86,43
2019-03-11,良,75,232,25,98,12,42,0.92,38
2019-03-12,良,61,141,23,73,12,43,0.95,36
2019-03-13,良,51,80,21,55,14,44,0.97,33
2019-03-14,良,64,230,21,75,13,42,0.85,37
2019-03-15,优,49,100,18,51,12,44,0.92,35
2019-03-16,良,65,208,24,77,11,49,0.91,41
2019-03-17,良,79,257,33,103,16,68,1.30,17
2019-03-18,良,65,183,31,77,10,51,1.01,49
2019-03-19,良,96,318,44,141,14,74,1.56,16
2019-03-20,中度污染,160,337,43,234,7,34,0.75,53
2019-03-21,良,62,192,20,74,7,20,0.56,64
2019-03-22,良,54,240,21,59,10,40,0.78,37
2019-03-23,良,59,264,22,68,10,44,0.85,36
2019-03-24,良,70,230,34,88,11,47,0.92,40
2019-03-25,良,78,262,35,104,9,49,0.96,41
2019-03-26,良,87,285,38,121,9,53,0.99,35
2019-03-27,轻度污染,115,340,50,178,11,53,0.92,33
2019-03-28,轻度污染,121,346,43,189,8,38,0.63,41
2019-03-29,良,88,305,23,125,7,30,0.49,59
2019-03-30,良,54,107,15,55,8,34,0.58,53
2019-03-31,良,52,147,19,56,9,45,0.76,45
2019-04-01,良,64,244,26,75,10,50,0.81,54
2019-04-02,良,80,306,43,106,13,63,0.93,57
2019-04-03,良,85,302,50,108,12,55,0.90,66
2019-04-04,良,74,241,33,93,9,60,0.74,59
2019-04-05,良,65,189,22,76,9,49,0.60,48
2019-04-06,轻度污染,107,307,39,161,7,42,0.54,49
2019-04-07,轻度污染,104,314,40,155,6,49,0.59,52
2019-04-08,轻度污染,106,307,56,153,14,50,0.95,78
2019-04-09,良,51,201,16,40,4,20,0.50,79
2019-04-10,良,54,216,24,58,6,39,0.62,43
2019-04-11,优,49,162,14,42,5,26,0.49,65
2019-04-12,良,51,125,26,51,7,42,0.68,45
2019-04-13,良,53,148,21,59,5,27,0.60,57
2019-04-14,良,54,165,16,55,5,39,0.60,51
2019-04-15,良,57,138,22,61,7,39,0.72,52
2019-04-16,良,70,242,25,88,5,34,0.59,58
2019-04-17,良,85,272,36,105,6,37,0.59,79
2019-04-18,良,74,222,30,75,9,39,0.70,96
2019-04-19,良,88,305,51,115,8,17,1.00,133
2019-04-20,良,51,105,21,51,4,18,0.67,82
2019-04-21,良,63,213,19,68,4,20,0.58,59
2019-04-22,良,56,174,34,57,6,30,1.00,55
2019-04-23,良,59,198,26,51,4,33,0.88,69
2019-04-24,良,94,298,30,122,5,36,0.77,72
2019-04-25,轻度污染,109,349,43,166,6,41,0.57,58
2019-04-26,良,84,328,42,109,8,34,0.72,87
2019-04-27,良,51,144,32,33,4,17,0.84,68
2019-04-28,优,41,83,12,29,5,24,0.84,73
2019-04-29,良,54,214,19,61,5,26,0.81,64
2019-04-30,良,81,276,18,111,4,17,0.58,90
2019-05-01,良,72,264,24,92,7,38,0.69,47
2019-05-02,良,54,103,22,55,4,24,0.70,68
2019-05-03,良,60,134,26,68,6,41,0.86,60
2019-05-04,良,58,122,25,49,5,33,0.86,59
2019-05-05,良,73,230,21,84,7,31,0.76,70
2019-05-06,良,65,288,31,76,7,23,0.91,81
2019-05-07,优,46,110,24,41,6,26,0.71,70
2019-05-08,优,36,52,12,23,5,25,0.58,65
2019-05-09,优,39,64,10,29,5,24,0.53,54
2019-05-10,优,49,80,11,43,5,31,0.46,59
2019-05-11,良,57,85,16,63,5,40,0.49,52
2019-05-12,严重污染,286,346,139,570,4,32,0.42,64
2019-05-13,轻度污染,134,309,72,214,5,33,0.52,66
2019-05-14,轻度污染,137,348,87,221,6,40,0.67,70
2019-05-15,中度污染,169,348,83,245,5,37,0.58,56
2019-05-16,轻度污染,150,338,95,245,6,41,0.60,43
2019-05-17,良,68,257,33,70,3,26,0.60,74
2019-05-18,良,73,305,35,89,5,36,0.66,73
2019-05-19,轻度污染,109,346,34,164,3,15,0.35,83
2019-05-20,良,57,180,17,55,5,33,0.46,54
2019-05-21,良,57,116,16,48,6,41,0.49,61
2019-05-22,良,57,106,17,47,9,47,0.51,64
2019-05-23,良,64,131,17,51,7,45,0.49,78
2019-05-24,良,64,141,22,63,7,45,0.56,70
2019-05-25,良,71,210,26,60,6,38,0.61,79
2019-05-26,轻度污染,120,351,38,180,5,16,0.33,96
2019-05-27,优,49,203,12,32,4,13,0.32,93
2019-05-28,良,56,245,12,21,4,16,0.42,103
2019-05-29,优,50,151,12,30,5,29,0.47,71
2019-05-30,良,57,231,16,51,7,35,0.43,80
2019-05-31,良,59,223,16,63,7,36,0.39,61
2019-06-01,良,74,269,27,91,7,37,0.44,77
2019-06-02,良,76,239,34,98,9,42,0.41,69
2019-06-03,良,67,228,29,76,7,47,0.47,69
2019-06-04,良,59,159,21,53,6,38,0.45,82
2019-06-05,良,51,172,10,17,2,21,0.51,97
2019-06-06,良,51,204,12,36,3,26,0.57,87
2019-06-07,良,62,245,16,43,3,27,0.57,91
2019-06-08,良,53,186,13,35,3,29,0.54,82
2019-06-09,良,54,217,12,43,4,41,0.56,66
2019-06-10,良,67,250,13,43,4,37,0.55,81
2019-06-11,良,57,240,19,62,4,72,0.52,20
2019-06-14,良,58,279,23,56,3,38,0.74,146
2019-06-15,良,56,248,28,64,4,47,0.70,79
2019-06-17,良,52,269,19,47,6,36,0.59,101
2019-06-18,良,61,300,26,57,5,43,0.64,96
2019-06-19,良,75,335,30,88,9,52,0.75,88
2019-06-20,优,42,262,17,38,5,26,0.55,95
2019-06-25,良,55,210,18,47,2,32,0.55,70
2019-06-26,良,62,265,23,51,2,28,0.59,70
2019-06-27,优,42,120,18,34,1,27,0.54,62
2019-06-28,优,39,111,5,31,2,22,0.38,67
2019-06-29,优,50,230,9,44,2,27,0.34,60
2019-06-30,优,49,206,9,35,3,34,0.35,63
2019-07-01,良,52,191,11,36,3,32,0.38,70
2019-07-02,良,57,194,14,37,3,34,0.41,84
2019-07-03,良,57,206,16,41,2,36,0.43,76
2019-07-04,良,61,235,15,35,2,27,0.38,91
2019-07-05,良,63,233,16,58,2,22,0.36,106
2019-07-06,良,53,209,8,32,3,20,0.28,91
2019-07-07,良,70,325,12,48,5,38,0.36,85
2019-07-12,优,47,251,15,40,3,30,0.60,70
2019-07-13,良,59,299,19,43,3,32,0.58,107
2019-07-14,良,52,257,17,46,3,34,0.58,93
2019-07-15,良,56,281,21,62,5,47,0.71,56
2019-07-16,良,52,270,29,54,4,39,0.74,44
2019-07-17,优,42,186,24,42,2,27,0.74,75
2019-07-18,优,42,225,20,43,3,33,0.81,52
2019-07-19,优,39,212,15,39,2,26,0.69,48
2019-07-20,优,40,199,16,37,2,31,0.61,61
2019-07-21,优,49,228,22,53,3,34,0.76,59
2019-07-22,优,34,139,11,29,2,22,0.60,79
2019-07-23,良,53,308,19,58,2,33,0.50,60
2019-07-24,良,60,315,20,69,4,38,0.48,63
2019-07-25,良,54,298,19,59,3,44,0.50,36
2019-07-26,良,63,317,28,77,4,38,0.66,81
2019-08-06,良,58,310,22,43,3,24,0.52,70
2019-08-07,良,56,263,12,31,3,23,0.41,97
2019-08-08,优,46,192,20,36,2,25,0.48,64
2019-08-09,优,46,209,12,34,2,24,0.39,73
2019-08-10,优,47,225,15,49,3,28,0.39,75
2019-08-11,优,49,254,13,40,3,29,0.40,53
2019-08-21,优,42,160,19,44,3,26,0.63,42
2019-08-22,优,38,113,18,38,3,31,0.62,48
2019-08-23,优,36,120,17,36,3,27,0.55,59
2019-08-24,优,36,117,20,36,3,32,0.72,25
2019-08-25,优,38,128,20,38,2,25,0.67,57
2019-08-26,优,39,176,19,38,5,45,0.76,21
2019-08-27,优,32,153,11,28,2,27,0.48,56
2019-08-28,优,35,158,13,32,3,29,0.45,41
2019-09-01,优,47,251,20,46,3,32,0.54,65
2019-09-02,良,51,281,23,52,3,38,0.60,66
2019-09-03,良,51,270,26,51,3,36,0.62,57
2019-09-04,良,55,283,30,60,4,41,0.75,57
2019-09-05,良,59,292,32,65,4,42,0.81,54
2019-09-06,良,58,261,31,65,5,42,0.83,57
2019-09-07,良,62,255,29,69,4,46,0.80,56
2019-09-08,良,60,198,29,67,3,45,0.77,61
2019-09-09,良,58,232,33,67,4,50,0.80,49
2019-09-10,优,37,166,19,26,2,24,0.80,106
2019-09-11,优,28,112,8,14,1,36,1.04,64
2019-09-12,优,29,95,14,25,1,25,0.97,35
2019-09-13,优,40,203,10,41,1,23,0.45,43
2019-09-14,优,34,160,12,34,2,22,0.43,30
2019-09-15,优,36,155,11,36,2,29,0.52,42
2019-09-16,优,42,184,17,44,2,36,0.50,36
2019-09-17,优,50,220,24,53,2,35,0.58,36
2019-09-18,优,47,208,22,50,3,31,0.50,54
2019-09-19,优,30,72,15,24,2,26,0.56,78
2019-09-20,优,31,50,11,29,2,27,0.46,52
2019-09-21,优,48,199,18,50,3,32,0.47,29
2019-09-22,优,49,208,17,51,3,38,0.52,46
2019-09-23,优,49,149,21,51,2,40,0.54,41
2019-09-24,优,49,119,19,50,2,41,0.49,41
2019-09-25,良,52,139,22,55,2,42,0.52,37
2019-09-26,优,46,88,21,46,2,34,0.51,46
2019-09-27,优,38,40,18,38,2,37,0.58,35
2019-09-28,良,53,105,26,59,3,37,0.70,41
2019-09-29,优,48,85,23,49,2,38,0.58,35
2019-09-30,良,59,147,32,69,2,41,0.74,40
2019-10-01,良,62,188,36,75,3,40,0.75,47
2019-10-02,良,57,180,33,64,3,43,0.68,44
2019-10-03,良,59,208,41,59,3,48,0.75,26
2019-10-04,优,30,101,13,29,1,19,0.44,21
2019-10-05,优,30,155,17,29,2,25,0.52,14
2019-10-06,优,14,10,7,9,2,24,0.75,24
2019-10-07,优,30,85,13,29,2,30,0.58,30
2019-10-08,优,34,115,14,34,3,32,0.47,30
2019-10-09,优,42,148,26,39,6,51,0.85,14
2019-10-10,优,46,174,21,53,3,40,0.77,25
2019-10-11,良,57,222,25,66,3,41,0.68,29
2019-10-12,良,57,228,31,59,3,33,0.64,47
2019-10-13,优,45,151,22,43,2,36,0.59,45
2019-10-14,良,69,352,40,50,4,28,0.67,33
2019-10-15,优,39,180,26,30,2,26,0.87,35
2019-10-16,优,23,35,11,22,3,28,0.80,26
2019-10-17,优,41,113,22,40,3,33,0.67,23
2019-10-18,优,47,131,27,48,3,37,0.70,33
2019-10-19,良,53,124,31,58,3,37,0.81,25
2019-10-20,良,65,169,28,81,4,40,0.72,17
2019-10-21,良,64,176,27,80,4,42,0.78,21
2019-10-22,良,82,265,51,100,5,53,1.12,15
2019-10-23,良,75,241,51,81,3,48,1.21,26
2019-10-24,优,41,116,13,46,4,29,0.48,47
2019-10-25,良,58,258,25,63,6,42,0.78,20
2019-10-26,良,54,230,23,62,5,44,0.81,27
2019-10-27,良,57,200,21,66,4,50,0.80,26
2019-10-28,中度污染,151,319,55,239,4,47,0.76,26
2019-10-29,良,83,255,42,112,5,52,0.93,20
2019-10-30,良,73,178,39,92,6,54,0.95,19
2019-10-31,良,67,137,32,79,6,53,0.95,23
2019-10-31,良,67,137,32,79,6,53,0.95,23
2019-11-01,优,44,85,30,35,7,44,0.97,22
2019-11-02,优,46,92,21,51,5,36,0.99,37
2019-11-03,良,55,161,26,59,6,42,1.12,27
2019-11-04,良,62,189,35,70,7,52,1.36,25
2019-11-05,良,61,160,37,71,7,56,1.26,21
2019-11-06,优,45,87,30,40,4,40,0.91,40
2019-11-07,优,49,125,30,52,8,42,1.09,16
2019-11-08,良,59,170,41,58,5,35,1.15,26
2019-11-09,优,49,70,33,46,7,38,1.31,10
2019-11-10,良,86,264,31,121,7,46,1.29,19
2019-11-11,良,66,171,32,83,9,56,1.37,8
2019-11-12,良,55,125,20,63,6,38,1.02,26
2019-11-13,优,50,154,18,54,6,39,1.15,25
2019-11-14,良,62,227,26,73,9,48,1.38,22
2019-11-15,良,67,210,30,82,9,55,1.58,16
2019-11-16,良,84,255,53,115,12,70,1.86,8
2019-11-17,轻度污染,106,260,36,162,6,30,0.98,41
2019-11-18,良,88,280,38,117,10,43,1.23,21
2019-11-19,良,80,241,44,102,10,56,1.81,14
2019-11-20,良,71,216,45,86,11,59,1.65,9
2019-11-21,良,77,267,55,83,14,49,1.65,24
2019-11-22,良,76,237,54,89,13,55,1.88,20
2019-11-23,良,65,167,41,77,10,42,0.99,36
2019-11-24,优,39,103,6,40,5,16,0.40,61
2019-11-25,良,53,274,28,53,13,47,1.20,16
2019-11-26,良,65,269,44,71,16,47,1.05,19
2019-11-27,良,65,262,43,72,15,49,1.03,10
2019-11-28,轻度污染,101,349,75,91,20,46,1.59,23
2019-11-29,轻度污染,103,336,77,59,8,33,0.97,35
2019-11-30,良,57,188,31,42,6,26,0.60,47
2019-12-01,优,49,159,16,54,6,31,0.68,46
2019-12-02,优,47,161,23,45,9,42,1.01,33
2019-12-03,优,48,91,29,48,13,52,1.43,19
2019-12-04,良,54,123,29,56,13,51,1.34,20
2019-12-05,良,62,194,36,64,13,55,1.31,21
2019-12-06,良,72,240,47,78,15,59,1.62,18
2019-12-07,良,88,239,65,88,15,65,1.90,15
2019-12-08,良,86,198,54,94,14,63,1.86,17
2019-12-09,良,61,88,29,70,14,57,1.63,17
2019-12-10,良,71,115,35,87,16,53,1.79,20
2019-12-11,良,75,148,40,84,17,52,1.58,16
2019-12-12,良,73,175,47,78,16,57,1.61,9
2019-12-13,良,84,191,60,84,13,58,2.00,17
2019-12-14,良,67,140,46,66,15,49,1.43,24
2019-12-15,良,77,213,56,59,11,39,1.03,35
2019-12-16,良,89,268,62,81,10,44,1.35,34
2019-12-17,良,52,118,31,56,9,46,1.10,33
2019-12-18,良,54,207,33,53,14,52,1.29,22
2019-12-19,良,59,213,39,58,13,52,1.37,20
2019-12-20,良,77,254,55,76,13,58,1.73,19
2019-12-21,良,76,235,55,78,13,61,1.71,19
2019-12-22,良,73,206,53,75,11,63,1.65,22
2019-12-23,良,86,239,63,87,15,62,1.89,12
2019-12-24,轻度污染,120,293,90,94,10,49,1.59,20
2019-12-25,良,79,230,45,73,6,37,0.94,32
2019-12-26,良,54,172,23,58,12,44,1.13,23
2019-12-27,良,59,140,29,65,13,51,1.64,20
2019-12-28,良,61,92,33,64,16,56,1.77,19
2019-12-29,优,48,73,27,49,11,46,1.48,25
2019-12-30,优,30,19,15,30,8,30,0.65,36
2019-12-31,良,58,215,39,54,13,44,1.18,18
2020-01-01,轻度污染,118,330,89,103,14,56,1.97,17
2020-01-02,轻度污染,108,244,81,97,12,60,2.12,10
2020-01-03,轻度污染,112,224,84,107,15,60,2.40,20
2020-01-04,轻度污染,101,192,76,95,12,60,1.84,18
2020-01-05,轻度污染,107,235,81,74,12,65,2.15,18
2020-01-06,轻度污染,113,304,85,94,10,31,1.40,50
2020-01-07,良,55,215,39,43,13,33,0.95,59
2020-01-08,良,63,214,45,57,10,48,1.20,40
2020-01-09,良,93,270,69,68,9,47,1.49,28
2020-01-10,良,68,213,49,56,11,32,1.05,60
2020-01-11,良,54,160,35,56,11,42,1.05,48
2020-01-12,良,82,232,60,81,10,61,1.58,24
2020-01-13,良,71,175,49,68,8,47,1.35,33
2020-01-14,良,63,122,43,68,10,56,1.46,19
2020-01-15,轻度污染,103,244,77,87,18,50,1.31,29
2020-01-16,轻度污染,109,262,82,75,11,36,1.23,34
2020-01-17,轻度污染,104,242,78,99,12,52,1.70,31
2020-01-18,良,89,194,66,89,12,54,1.56,29
2020-01-19,良,64,141,34,78,11,54,1.49,22
2020-01-20,良,61,132,36,67,15,54,1.51,24
2020-01-21,良,76,173,53,87,15,59,2.03,22
2020-01-22,良,76,182,55,79,10,51,1.59,29
2020-01-23,良,87,217,64,89,15,57,1.68,26
2020-01-24,良,67,212,47,67,13,39,1.45,35
2020-01-25,轻度污染,140,286,106,113,13,34,1.68,40
2020-01-26,轻度污染,112,287,84,84,11,27,1.59,50
2020-01-27,良,96,265,71,76,7,25,1.72,56
2020-01-28,良,70,177,50,58,7,26,1.39,44
2020-01-29,良,74,222,54,63,10,26,1.30,49
2020-01-30,良,72,210,52,68,8,31,1.37,44
2020-01-31,良,72,195,52,64,9,33,1.40,43
2020-02-01,良,67,188,48,51,10,35,1.47,33
2020-02-02,优,50,161,31,40,7,19,0.92,49
2020-02-03,优,46,136,26,44,7,26,1.10,42
2020-02-04,良,52,206,34,47,8,31,1.32,40
2020-02-05,良,73,291,54,61,8,26,1.25,45
2020-02-06,轻度污染,132,360,100,102,6,24,1.37,47
2020-02-07,良,80,290,58,64,7,20,1.14,53
2020-02-08,良,66,226,45,61,8,27,1.23,41
2020-02-09,良,55,178,35,52,7,30,1.09,41
2020-02-10,良,55,180,38,56,7,35,1.30,33
2020-02-11,良,57,180,40,58,21,42,1.33,27
2020-02-12,良,62,215,43,63,8,41,1.38,33
2020-02-13,良,82,269,38,100,6,29,1.05,50
2020-02-14,轻度污染,113,344,18,168,2,2,0.28,77
2020-02-15,优,26,139,7,23,3,5,0.38,70
2020-02-16,优,33,194,15,29,6,22,0.75,47
2020-02-17,优,38,249,22,32,9,38,1.08,33
2020-02-18,优,44,204,26,44,9,44,1.08,29
2020-02-19,良,80,302,43,110,10,44,1.03,36
2020-02-20,良,99,274,46,149,9,41,0.97,31
2020-02-21,良,100,304,37,149,7,33,0.83,37
2020-02-22,良,79,292,35,106,9,41,1.01,35
2020-02-23,良,76,240,44,99,11,51,1.29,37
2020-02-24,良,75,226,54,88,13,61,1.73,17
2020-02-25,良,87,254,44,123,8,42,1.00,34
2020-02-26,轻度污染,101,322,64,117,8,36,0.97,53
2020-02-27,优,43,137,31,32,5,19,0.92,48
2020-02-28,优,31,120,15,33,7,24,0.81,33
2020-02-29,良,62,265,26,72,8,24,0.69,50
2020-03-01,良,57,237,15,67,5,23,0.56,62
2020-03-02,优,47,198,21,49,6,26,0.62,57
2020-03-03,优,49,217,14,51,5,19,0.54,69
2020-03-04,良,52,257,25,54,6,36,0.84,48
2020-03-05,良,65,299,45,67,6,37,0.88,57
2020-03-06,良,74,281,45,76,6,46,0.93,52
2020-03-07,良,66,218,31,79,7,46,0.80,45
2020-03-08,良,90,274,54,103,9,53,1.04,34
2020-03-09,良,100,323,36,148,4,26,0.63,48
2020-03-10,良,72,301,29,93,5,39,0.79,38
2020-03-11,良,56,160,27,61,7,48,0.95,34
2020-03-12,良,76,265,32,101,8,40,0.80,41
2020-03-13,良,53,201,19,61,4,18,0.43,69
2020-03-14,良,54,207,23,60,6,41,0.70,41
2020-03-15,优,46,77,21,49,7,47,0.79,35
2020-03-16,良,54,160,23,59,7,48,0.87,39
2020-03-17,良,53,125,24,59,6,49,0.83,36
2020-03-18,良,87,291,28,124,7,39,0.54,46
2020-03-19,良,100,311,33,151,7,37,0.49,47
2020-03-20,良,89,292,45,128,8,51,0.71,41
2020-03-21,良,81,290,41,113,7,51,0.70,35
2020-03-22,良,60,210,25,70,7,47,0.68,42
2020-03-23,良,66,244,38,82,8,53,0.79,61
2020-03-24,良,65,231,39,74,5,42,0.73,67
2020-03-25,良,86,304,45,105,7,35,0.76,63
2020-03-26,轻度污染,124,346,30,212,3,14,0.36,66
2020-03-27,优,27,114,14,28,3,18,0.38,32
2020-03-28,良,73,353,49,64,6,38,0.80,34
2020-03-29,良,55,264,34,59,5,34,0.62,62
2020-03-30,良,74,294,51,66,6,36,0.69,66
2020-03-31,良,90,325,43,127,6,44,0.54,53
2020-04-01,良,56,232,25,64,6,40,0.52,36
2020-04-02,良,53,216,30,51,5,28,0.55,58
2020-04-03,良,61,205,29,73,5,49,0.68,42
2020-04-04,良,56,162,29,61,5,40,0.58,62
2020-04-05,良,61,211,40,67,5,42,0.64,77
2020-04-06,良,60,189,35,68,4,53,0.68,64
2020-04-07,良,65,227,37,79,3,55,0.68,59
2020-04-08,良,65,224,30,79,3,57,0.55,54
2020-04-09,良,72,273,37,85,5,41,0.46,87
2020-04-10,轻度污染,121,343,91,89,6,25,0.87,66
2020-04-11,良,61,254,38,50,3,35,0.61,61
2020-04-12,良,52,175,25,57,4,48,0.51,47
2020-04-13,良,53,132,23,57,3,46,0.50,57
2020-04-14,良,74,235,36,99,9,47,0.58,77
2020-04-15,良,75,242,31,101,4,42,0.46,64
2020-04-16,良,94,311,28,138,3,25,0.28,84
2020-04-17,良,83,267,37,117,4,44,0.46,59
2020-04-18,良,62,174,35,61,6,38,0.62,80
2020-04-19,优,50,174,22,54,2,24,0.54,78
2020-04-20,良,64,309,16,78,3,29,0.38,68
2020-04-21,良,61,308,19,72,4,40,0.42,42
2020-04-22,良,52,241,18,58,4,39,0.42,47
2020-04-23,良,57,276,19,65,3,39,0.37,49
2020-04-24,良,51,180,19,55,3,44,0.42,47
2020-04-25,良,68,297,24,87,4,46,0.45,44
2020-04-26,良,66,289,30,81,4,45,0.49,50
2020-04-27,良,66,306,38,80,6,50,0.60,62
2020-04-28,良,69,268,43,84,4,54,0.63,75
2020-04-29,良,62,163,30,72,4,49,0.58,79
2020-04-30,良,63,168,25,75,3,58,0.50,66
2020-05-01,良,70,248,30,84,4,63,0.54,62
2020-05-02,良,72,281,31,88,4,61,0.48,70
2020-05-03,良,86,299,41,121,4,58,0.46,75
2020-05-04,良,95,344,39,142,6,40,0.46,63
2020-05-05,优,41,155,20,39,4,18,0.58,76
2020-05-06,良,63,303,40,63,5,33,0.78,65
2020-05-07,优,43,158,26,35,4,21,0.68,72
2020-05-08,优,44,262,17,44,3,16,0.46,61
2020-05-09,优,43,219,14,44,3,15,0.36,76
2020-05-10,良,56,232,17,65,3,21,0.39,67
2020-05-11,良,57,210,13,68,3,19,0.30,71
2020-05-12,优,47,136,18,50,4,38,0.39,51
2020-05-13,良,53,145,22,61,6,39,0.41,55
2020-05-14,优,44,100,17,44,3,30,0.34,68
2020-05-15,良,57,239,25,65,5,32,0.41,82
2020-05-16,中度污染,198,360,69,251,4,30,0.36,60
2020-05-17,中度污染,179,364,74,294,4,25,0.33,59
2020-05-18,良,54,206,22,61,4,24,0.37,63
2020-05-19,优,49,144,15,46,5,28,0.40,81
2020-05-20,优,50,161,19,45,4,25,0.34,102
2020-05-21,优,50,209,21,51,4,28,0.36,90
2020-05-22,优,48,222,14,48,4,31,0.33,65
2020-05-23,优,49,222,12,53,4,23,0.28,77
2020-05-24,优,40,159,12,37,5,29,0.33,60
2020-05-25,良,52,255,18,58,4,30,0.33,65
2020-05-26,优,50,285,16,54,3,30,0.31,54
2020-05-27,良,53,255,19,59,3,33,0.33,53
2020-05-28,优,49,169,16,48,3,32,0.31,68
2020-05-29,优,49,178,17,51,4,34,0.38,77
2020-05-30,优,44,201,20,48,2,24,0.42,61
2020-05-31,良,54,268,23,61,2,30,0.39,55
2020-06-01,良,60,276,22,70,3,30,0.39,59
2020-06-02,良,71,302,28,91,3,32,0.36,55
2020-06-03,良,62,263,27,75,3,39,0.39,68
2020-06-04,良,59,265,23,66,3,41,0.34,80
2020-06-05,良,56,270,21,63,3,37,0.36,89
2020-06-06,良,66,293,34,78,4,39,0.51,99
2020-06-07,良,61,268,28,72,3,41,0.48,80
2020-06-08,良,73,296,40,92,2,36,0.36,42
2020-06-09,优,45,232,24,45,2,18,0.37,75
2020-06-10,优,50,272,27,45,2,21,0.46,91
2020-06-11,优,42,222,26,35,2,21,0.53,98
2020-06-12,优,43,248,24,43,2,28,0.53,72
2020-06-13,良,52,275,19,59,2,30,0.38,52
2020-06-14,优,45,256,10,42,3,33,0.30,70
2020-06-15,优,37,207,16,35,2,28,0.38,73
2020-06-16,优,30,163,16,22,2,23,0.52,88
2020-06-17,优,33,200,13,24,2,20,0.45,83
2020-06-18,优,48,296,18,48,2,28,0.46,69
2020-06-19,良,54,301,22,61,3,36,0.58,62
2020-06-20,良,53,256,32,56,3,30,0.67,71
2020-06-21,良,56,289,34,60,3,28,0.63,83
2020-06-22,良,60,336,30,70,4,32,0.53,58
2020-06-23,良,55,320,24,61,3,26,0.35,74
2020-06-24,良,52,292,19,56,2,27,0.37,75
2020-06-25,良,52,282,19,58,2,33,0.40,65
2020-06-26,优,33,167,12,33,2,27,0.35,57
2020-06-27,优,39,236,16,37,2,22,0.42,66
2020-06-28,优,49,296,28,52,2,26,0.65,56
2020-06-29,优,46,293,17,41,2,21,0.45,90
2020-06-30,优,48,283,12,40,2,30,0.39,78
2020-07-01,优,42,210,12,34,2,26,0.38,75
2020-07-02,优,40,212,14,36,2,18,0.35,89
2020-07-03,优,43,261,18,43,2,22,0.44,83
2020-07-04,优,33,143,15,31,2,20,0.44,72
2020-07-05,优,38,216,14,36,2,20,0.38,64
2020-07-06,良,51,289,20,50,2,27,0.46,73
2020-07-07,优,46,270,17,43,2,25,0.42,78
2020-07-08,良,55,295,28,58,3,24,0.59,92
2020-07-09,良,53,299,26,53,2,21,0.58,95
2020-07-10,良,52,289,23,57,2,26,0.51,59
2020-07-11,良,52,291,33,48,3,27,0.63,57
2020-07-12,优,33,181,12,24,3,15,0.53,97
2020-07-13,优,34,192,15,29,3,15,0.59,68
2020-07-14,优,45,236,25,41,2,19,0.63,76
2020-07-15,优,36,163,14,30,2,19,0.43,77
2020-07-16,优,37,185,15,33,2,19,0.46,76
2020-07-17,优,40,221,18,35,2,17,0.52,93
2020-07-18,优,30,153,11,26,2,17,0.46,68
2020-07-19,优,37,233,10,31,2,20,0.37,60
2020-07-20,优,39,214,13,35,2,24,0.39,66
2020-07-21,优,46,243,20,45,3,26,0.56,59
2020-07-22,优,41,235,26,35,3,25,0.65,58
2020-07-23,优,42,246,23,40,4,23,0.70,61
2020-07-24,优,37,149,22,36,2,17,0.64,67
2020-07-25,优,31,98,17,30,2,19,0.64,46
2020-07-26,优,40,200,11,42,2,23,0.54,48
2020-07-27,优,45,274,15,42,2,23,0.45,68
2020-07-28,优,50,279,27,52,2,23,0.57,65
2020-07-29,优,49,267,26,51,1,16,0.61,74
2020-07-30,优,46,262,23,48,2,23,0.63,61
2020-07-31,优,38,238,17,34,2,17,0.52,64
2020-08-01,优,42,272,25,42,2,18,0.58,68
2020-08-02,优,34,209,14,30,1,17,0.44,67
2020-08-03,优,42,276,17,41,2,24,0.46,61
2020-08-04,优,38,254,22,35,2,33,0.55,45
2020-08-05,优,29,173,11,23,2,24,0.60,48
2020-08-06,优,25,142,8,22,1,19,0.63,38
2020-08-07,优,25,145,5,18,1,17,0.67,55
2020-08-08,优,29,147,11,27,1,19,0.56,47
2020-08-09,优,44,274,14,44,2,22,0.40,57
